iteration,loss
1,0.6738438477965342
2,0.6401573616592992
3,0.6080995629854108
4,0.5786584391473848
5,0.549014993011566
6,0.5234739681157097
7,0.4989285829415543
8,0.47601495162353047
9,0.45360488562326423
10,0.4337432184628899
11,0.4138734720777634
12,0.3959827395445592
13,0.37923987484776156
14,0.3615224322831871
15,0.3468858915024139
16,0.3323078895511784
17,0.3184235183315402
18,0.3058846571052633
19,0.2945757944906918
20,0.28297324438845717
21,0.2724350313196109
22,0.2628114803488836
23,0.2531413303764349
24,0.24446897043691318
25,0.2357387324601517
26,0.22725238417004995
27,0.21962364402921336
28,0.21225570453135853
29,0.20516038545473186
30,0.1985238722375674
31,0.19200148988830937
32,0.18576566971829894
33,0.1798519917478879
34,0.17432340045269581
35,0.16885363335329046
36,0.16356514131639704
37,0.15881043874288672
38,0.15397230969225342
39,0.14957279664279394
40,0.1451108747069242
41,0.14095364516886694
42,0.13688203081339126
43,0.1329635290075009
44,0.12927632433794364
45,0.12561203773234825
46,0.12216235795945199
47,0.11877401511192306
48,0.11560958975102609
49,0.11245035491242732
50,0.1094231726482188
51,0.10666381419565214
52,0.10375323895591577
53,0.1010634915768053
54,0.09840877801759372
55,0.09581139160582829
56,0.09334785581815572
57,0.09104701723691143
58,0.08865699154705417
59,0.0864526879984285
60,0.08426745975627803
61,0.08216189625694405
62,0.08012985832728689
63,0.07818391461660831
64,0.07627342949217518
65,0.07442592956016211
66,0.07262782531216455
67,0.07092325798727427
68,0.06926422051680724
69,0.06759293284394116
70,0.06600830773018465
71,0.0644868808036983
72,0.06303768187367784
73,0.06153874043986034
74,0.06018428160837541
75,0.05878761958514837
76,0.0574984831279878
77,0.05616879534823342
78,0.05495595442784061
79,0.05375120431248358
80,0.052600484071638046
81,0.051433628901677186
82,0.05031928282789413
83,0.04924142604673392
84,0.04819691961472661
85,0.04718740518002887
86,0.04617066686840693
87,0.045236597085097294
88,0.04424546969958334
89,0.04334194468906931
90,0.04245522297151807
91,0.04158777475870131
92,0.04073090870476791
93,0.039893218839864734
94,0.03909783144861502
95,0.038296086420013926
96,0.03752074338146817
97,0.03676032172957889
98,0.036031690855638204
99,0.035312129445449855
100,0.034605627051325444
101,0.03392373541976637
102,0.033241113051734474
103,0.032606889163708325
104,0.03195406500943811
105,0.031324528862130344
106,0.030715002236870226
107,0.030117123105485033
108,0.02953383036352799
109,0.028969698241124685
110,0.028414825777800495
111,0.027866458694927553
112,0.02733359322738078
113,0.026815835705431817
114,0.026312266058049226
115,0.025825509832553384
116,0.025339869368438222
117,0.024871351425884224
118,0.024398942491129175
119,0.02395586856189661
120,0.023514582928964092
121,0.023089364654258673
122,0.02267886154168361
123,0.022263708414718874
124,0.02187228849061871
125,0.02148438444337444
126,0.02111350328157959
127,0.02073300367627024
128,0.020377173002778286
129,0.020013538761498407
130,0.0196667045137909
131,0.019327403592533595
132,0.01900550631727876
133,0.018669857264748287
134,0.01835386099581574
135,0.018030263007795276
136,0.017729546365693623
137,0.01742721765047223
138,0.017136278006877403
139,0.01684623515296349
140,0.01656956214182149
141,0.016284039861519786
142,0.01602682344501368
143,0.015759549020746735
144,0.015502824154318421
145,0.015252948017050905
146,0.015010110097428503
147,0.014763617150373267
148,0.01452802594020658
149,0.014294173095285087
150,0.014069872774892767
151,0.013850410783111713
152,0.013625661983316634
153,0.013415605586955684
154,0.013205465357105772
155,0.01299856627297553
156,0.012800348553298724
157,0.012595681620801321
158,0.012400747832308868
159,0.012216302539010744
160,0.012020668523898192
161,0.011841651403246682
162,0.011659581403621045
163,0.01148499967331975
164,0.011305641448885727
165,0.011140725121954314
166,0.010976487031348585
167,0.010805153742274216
168,0.010643772235975594
169,0.010488851269263865
170,0.010328422025306224
171,0.010174902286715682
172,0.010024006080720379
173,0.009879109172078165
174,0.009730850361750002
175,0.009590695287527878
176,0.009446990777205037
177,0.009310831574581114
178,0.009175966742922908
179,0.009040923366493448
180,0.00891125055495928
181,0.008780197797279078
182,0.008655966486679142
183,0.008530323721837168
184,0.00840982336205538
185,0.008287089665757846
186,0.00816684647251312
187,0.008054685614564277
188,0.007940828560134333
189,0.007825014083698165
190,0.007719053352658188
191,0.007605577425234107
192,0.007502033944578853
193,0.00739619446009898
194,0.007296179375138215
195,0.007193248856484699
196,0.00708704220614083
197,0.006996463452447303
198,0.006896527469676381
199,0.006800104707859818
200,0.006708590450983082
201,0.006612284866909101
202,0.006527585801904631
203,0.006434598186295456
204,0.0063473844673220745
205,0.006263562658821264
206,0.006177983343438832
207,0.006094315525152891
208,0.006011110556698915
209,0.005930143316162074
210,0.005852980337331686
211,0.005769757063656429
212,0.0056955423793833785
213,0.005618776915850276
214,0.005544221022041948
215,0.005468456632695815
216,0.005399214829378133
217,0.005326251961364559
218,0.005256263327264994
219,0.005187485687564248
220,0.005119065895715743
221,0.0050505116639158855
222,0.004988094171265132
223,0.00492135003779948
224,0.004857523840972015
225,0.0047942377191795525
226,0.004733479437731407
227,0.004672268004706233
