pipeline,fold,sID,spec,label,n_samples,predicted_anomaly_rate,mean_normalized_score,median_normalized_score,max_normalized_score
mid_averaged,fold_1,Ch1,Z04,1,20,0.15,0.7244749114618271,0.6859491273415931,1.4005682981528722
mid_averaged,fold_1,Ch1,Z05,0,20,1.0,3.998007292358048,3.3378250453444247,10.083415011560964
mid_averaged,fold_1,Ch2,Z04,1,20,0.0,0.6052019022858632,0.610748751446534,0.9551434920918122
mid_averaged,fold_1,Ch2,Z05,0,20,1.0,5.852111008323049,5.35234520069456,8.752803976981252
mid_averaged,fold_2,Ch1,Z03,1,20,0.55,1.207131855431299,1.1380553982169967,2.63087999494323
mid_averaged,fold_2,Ch1,Z05,0,20,1.0,3.333394187946476,2.7762514294653213,7.701518413797045
mid_averaged,fold_2,Ch2,Z03,1,20,0.65,1.3853198357752814,1.295650006229097,2.9593295743440873
mid_averaged,fold_2,Ch2,Z05,0,20,1.0,6.0157308693101985,5.960885041276207,9.974054422506994
mid_averaged,fold_3,Ch1,Z02,1,20,1.0,2.07771156911591,1.8104746817488344,4.674516448218643
mid_averaged,fold_3,Ch1,Z05,0,20,1.0,5.902808500206179,5.216451899989284,13.392353367680117
mid_averaged,fold_3,Ch2,Z02,1,20,1.0,2.050653497222223,1.738583995688217,5.9869306376466795
mid_averaged,fold_3,Ch2,Z05,0,20,1.0,8.005855483248196,7.964506765640884,11.762016092466153
mid_averaged,fold_4,Ch1,Z01,1,20,0.65,1.157857097743442,1.1206283632563387,1.8403875468985404
mid_averaged,fold_4,Ch1,Z05,0,20,1.0,3.174114164706585,2.6488484611687833,8.537226951283019
mid_averaged,fold_4,Ch2,Z01,1,20,0.0,0.4917764595364818,0.4676345401829135,0.72380921662317
mid_averaged,fold_4,Ch2,Z05,0,20,1.0,4.761483592544307,4.550841487959536,7.953799654949228
